Зеленодольск (Республика Татарстан),Количество жителей 99 922
Железногорск (Курская область),Численность населения 99 774
Елец (Липецкая область),Численность населения 99 208
Новокуйбышевск (Самарская область),Численность населения 98 373
Тобольск (Тюменская область),Количество жителей 98 155
Сергиев Посад (Московская область),Численность населения 96 384
Воткинск (Удмуртская Республика),Количество жителей 96 105
Саров (Нижегородская область),Количество жителей 96 099
Анапа (Краснодарский край),Численность населения 95 873
Междуреченск (Кемеровская область),Количество жителей 95 386
Михайловск (Ставропольский край),Количество жителей 94 553
Серов (Свердловская область),Количество жителей 93 852
Сарапул (Удмуртская Республика),Количество жителей 93 380
Воскресенск (Московская область),Количество жителей 92 023
Ленинск-Кузнецкий ,Численность населения 91 619
Магадан (Магаданская область),Численность населения 91 432
Глазов (Удмуртская Республика),Численность населения 91 247
Ухта (Республика Коми),Численность населения 91 066
Соликамск (Пермский край),Численность населения 90 982
Великие Луки (Псковская область),Численность населения 90 084
Мурино (Ленинградская область),Численность населения 89 636
Лобня (Московская область),Количество жителей 88 974
Мичуринск (Тамбовская область),Количество жителей 88 730
Гатчина (Ленинградская область),Численность населения 87 626
Канск (Красноярский край),Количество жителей 87 578
Каменск-Шахтинский (Ростовская область),Количество жителей 85 982
Бузулук ,Количество жителей 85 773
Губкин (Белгородская область),Численность населения 85 588
Ивантеевка (Московская область),Численность населения 83 881
Киселёвск (Кемеровская область),Численность населения 83 668
Ейск (Краснодарский край),Численность населения 83 216
Чайковский (Пермский край),Численность населения 81 306
Новотроицк (Оренбургская область),Численность населения 81 229
Видное (Московская область),Численность населения 80 964
Бугульма (Республика Татарстан),Количество жителей 80 345
Железногорск (Красноярский край),Численность населения 80 281
Клин (Московская область),Численность населения 80 225
Юрга (Кемеровская область),Количество жителей 79 705
Кузнецк (Пензенская область),Количество жителей 79 045
Новоуральск (Сверловская область),Количество жителей 79 002
Азов (Ростовская область),Количество жителей 78 760
Усть-Илимск (Иркутская область),Численность населения 78 718
Кинешма (Ивановская область),Количество жителей 78 383
Озёрск (Челябинская область),Численность населения 77 808
Ялта (Республика Крым),Количество жителей 77 752
Всеволожск (Ленинградская область),Численность населения 76 611
Верхняя Пышма (Свердловская область),Численность населения 76 389
Бор (Нижегородская область),Численность населения 76 297
Кропоткин (Краснодарский край),Численность населения 76 295
Черногорск (Республика Хакасия),Численность населения 75 364
Геленджик (Краснодарский край),Численность населения 75 136
Новоалтайск (Алтайский край),Численность населения 74 553
Елабуга (Республика Татарстан),Численность населения 74 181
Балашов (Саратовская область),Численность населения 74 098
Дубна (Московская область),Численность населения 74 025
Усолье-Сибирское (Иркутская область),Численность населения 73 809
Шадринск (Курганская область),Численность населения 73 570
Егорьевск (Московская область),Численность населения 73 020
Выборг (Ленинградская область),Численность населения 73 001
Минеральные Воды (Ставропольский край),Численность населения 72 423
Троицк (Челябинская область),Численность населения 72 279
Белово (Кемеровская область),Численность населения 70 102
Чапаевск (Самарская область),Численность населения 70 096
Чехов (Московская область),Численность населения 69 843
Наро-Фоминск (Московская область),Численность населения 69 421
Когалым (Ханты-Мансийский автономный округ - Югра),Численность населения 69 258
Биробиджан (Еврейская автономная область),Численность населения 68 919
Феодосия (Республика Крым),Численность населения 68 218
Туймазы (Республика Башкортостан),Численность населения 68 184
Дмитров (Московская область),Численность населения 67 499
Славянск-на-Кубани (Краснодарский край),Численность населения 67 252
Сунжа (Республика Ингушетия),Численность населения 67 142
Буйнакск (Республика Дагестан),Численность населения 67 091
Кирово-Чепецк (Кировская область),Численность населения 67 067
Кстово (Нижегородская область),Численность населения 66 464
Минусинск (Красноярский край),Численность населения 66 199
Сосновый Бор (Ленинградская область),Численность населения 65 941
Анжеро-Судженск (Кемеровская область),Численность населения 65 732
Заречный (Пензенская область),Численность населения 65 318
Урус-Мартан (Чеченская Республика),Численность населения 65 313
Ступино ,Численность населения 64 946
Горно-Алтайск (Республика Алтай),Численность населения 64 558
Георгиевск (Ставропольский край),Численность населения 64 433
Белорецк (Республика Башкортостан),Численность населения 64 031
Кунгур (Пермский край),Численность населения 63 631
Ишим (Тюменская область),Численность населения 63 629
Белогорск (Амурская область),Численность населения 63 575
Ишимбай (Республика Башкортостан),Численность населения 63 132
Избербаш (Республика Дагестан),Численность населения 62 349
Клинцы (Брянская область),Численность населения 62 242
Котлас (Архангельская область),Численность населения 62 221
Павловский Посад (Московская область),Численность населения 62 017
Берёзовский (Свердловская область),Численность населения 61 909
Россошь (Воронежская область),Численность населения 61 849
Асбест (Свердловская область),Численность населения 61 580
Сертолово (Ленинградская область),Численность населения 61 260
Гуково (Ростовская область),Численность населения 61 199
Зеленогорск (Красноярский край),Численность населения 61 150
Лениногорск (Республика Татарстан),Численность населения 60 717
Донской (Тульская область),Численность населения 60 693
Лыткарино (Московская область),Численность населения 60 561
Туапсе (Краснодарский край),Численность населения 60 440
Ревда (Свердловская область),Численность населения 60 119
Вольск (Саратовская область),Численность населения 59 861
Сибай (Республика Башкортостан),Численность населения 59 624
Будённовск (Ставропольский край),Численность населения 59 570
Нерюнгри (Республика Саха (Якутия)),Численность населения 59 551
Полевской (Свердловская область),Численность населения 59 112
Кумертау (Республика Башкортостан),Численность населения 58 874
Белебей (Республика Башкортостан),Численность населения 58 874
Лысьва (Пермский край),Численность населения 58 818
Прохладный (Кабардино-Балкарская Республика),Численность населения 58 697
Фрязино (Московская область),Численность населения 58 540
Нягань (Ханты-Мансийский автономный округ - Югра),Численность населения 58 536
Лесосибирск (Красноярский край),Численность населения 58 415
Крымск (Краснодарский край),Численность населения 58 292
Гудермес (Чеченская Республика),Численность населения 58 275
Чистополь (Республика Татарстан),Численность населения 58 228
Лабинск (Краснодарский край),Численность населения 57 273
Борисоглебск (Воронежская область),Численность населения 57 160
Шали (Чеченская Республика),Численность населения 57 032
Тихвин (Ленинградская область),Численность населения 56 716
Михайловка (Волгоградская область),Численность населения 56 270
Александров (Владимирская область),Численность населения 56 240
Алексин (Тульская область),Численность населения 56 156
Краснотурьинск (Свердловская область),Численность населения 55 664
Сальск (Ростовская область),Численность населения 55 543
Мелеуз (Республика Башкортостан),Численность населения 55 424
Щёкино (Тульская область),Численность населения 55 404
Павлово (Нижегородская область),Численность населения 55 359
Тихорецк (Краснодарский край),Численность населения 55 243
Ржев (Тверская область),Численность населения 55 059
Североморск (Мурманская область),Численность населения 55 005
Шуя (Ивановская область),Численность населения 54 973
Искитим (Новосибирская область),Численность населения 54 757
Кудрово (Ленинградская область),Численность населения 54 471
Котельники (Московская область),Количество жителей 53 037
Апатиты (Мурманская область),Численность населения 52 762
Дзержинский (Московская область),Численность населения 52 630
Выкса (Нижегородская область),Численность населения 52 531
Вязьма (Смоленская область),Численность населения 52 111
Лиски (Воронежская область),Численность населения 52 040
Снежинск (Челябинская область),Численность населения 52 009
Свободный (Амурская область),Численность населения 52 002
Салехард (Ямало-Ненецкий автономный округ),Количество жителей 51 972
Волжск (Республика Марий Эл),Численность населения 51 912
Краснокаменск (Забайкальский край),Численность населения 51 598
Воркута (Республика Коми),Численность населения 51 321
Арсеньев (Приморский край),Численность населения 51 180
Белореченск (Краснодарский край),Численность населения 51 086
Краснокамск (Пермский край),Численность населения 51 058
Гусь-Хрустальный (Владимирская область),Численность населения 50 806
Тимашёвск ,Численность населения 50 149
